date,title,event_type,counterparty,amount,source,url
Unknown,BlackRock Host Investor Day 2025,,,,Google News,
Unknown,BlackRock to Acquire ElmTree Funds,,,,Google News,
Unknown,LendingClub and BlackRock Partner on Loan Transactions Up to $1 Billion,,,,Google News,
Unknown,BlackRock Income Trust (BKT) Provides Update on its Discount Management Program,,,,Google News,
Unknown,BlackRock removed from Texas divestment list after climate alliance exits,,,,Google News,
Unknown,Consortium completes acquisition of Viridium,,,,Google News,
Unknown,"Joseph Chalom, former Head of Digital Assets Strategy BlackRock, joins SharpLink as Co-CEO",,,,Google News,
Unknown,American BlackRock acquires energy company Allete for $6 billion,,,,Google News,
Unknown,Archer Raises $300M From Leading Institutional Investors To Accelerate Hybrid Aircraft Platform Development As Defense Opportunities Look Stronger Than Expected,,,,Google News,
Unknown,Georgia workforce training gets $1M from BlackRock Foundation,,,,Google News,
Unknown,BlackRock® Canada Announces July Cash Distributions for the iShares® ETFs,,,,Google News,
Unknown,BlackRock strikes $23 billion deal to place Panama Canal ports under American control,,,,Google News,
Unknown,Ray A. Cameron Lauded for Significant Contributions in Financial Services,,,,Google News,
Unknown,BlackRock’s Custom Glidepath to Power Great Gray Trust Company’s New Target Date Retirement Solution with Access to Private Markets,,,,Google News,
Unknown,Consortium of top-tier insurers and asset managers to acquire leading European life insurance consolidator Viridium,,,,Google News,
Unknown,BlackRock Completes Acquisition of HPS Investment Partners,,,,Google News,
Unknown,BlackRock Debuts Active ETFs from its Global Allocation Franchise,,,,Google News,
Unknown,"BlackRock Launches Texas ETF, Opens Greater Access to Invest in Growing Texas Economy",,,,Google News,
Unknown,"Certain BlackRock Funds (BGY, BSTZ, MVF) Announce Expiration and Preliminary Results of Tender Offers",,,,Google News,
Unknown,"BlackRock Announces Closing of Reorganization of BlackRock Enhanced Government Fund, Inc. (EGF) with and into BlackRock Income Trust, Inc. (BKT)",,,,Google News,
Unknown,BlackRock Expands iShares Build ETF Toolkit with Industry’s First S&P 500 3%-Capped Weighted ETF,,,,Google News,
Unknown,BlackRock® Canada Announces May Cash Distributions for the iShares® ETFs,,,,Google News,
Unknown,White & Case advises BlackRock on Seven2’s acquisition of Fulgard,,,,Google News,
Unknown,"BlackRock Municipal Income Fund, Inc. (MUI) Declares Final Distribution as Part of its Conversion to the Institutional Share Class (MUNEX) of BlackRock Municipal Credit Alpha Portfolio, Inc.",,,,Google News,
Unknown,BlackRock Exit: Net Zero Asset Managers Suspends Activities,,,,Google News,
Unknown,Press Release: Distribution Dates and Amounts Announced for Certain BlackRock Closed-End Funds,,,,Google News,
Unknown,BlackRock’s LifePath Paycheck™ Closes 2024 with $16B in AUM,,,,Google News,
Unknown,2025 Q4 Investment Outlook | BlackRock Investment Institute,,,,Google News,
Unknown,BlackRock Completes Acquisition of Global Infrastructure Partners,,,,Google News,
Unknown,"BlackRock to Acquire Preqin, Leading Private Markets Data Solutions Provider",,,,Google News,
Unknown,BlackRock Announces Board Approval of Closed-End Fund Reorganizations,,,,Google News,
Unknown,FERC approval of BlackRock GIP acquisition threatens fair energy market,,,,Google News,
Unknown,Vanguard Announces Appointment of Salim Ramji as New CEO,,,,Google News,
Unknown,"BlackRock Launches Its First Tokenized Fund, BUIDL, on the Ethereum Network",,,,Google News,
Unknown,BlackRock Reports Second Quarter 2025 Earnings,,,,Google News,
Unknown,BlackRock Announces Updated Distribution Pay Dates for its Municipal Closed-End Funds,,,,Google News,
Unknown,"""Unconscionable to Profit From Fueling China's Military"" - Select Committee Launches Investigation Into BlackRock & MSCI",,,,Google News,
Unknown,"Transparency notification BlackRock, Inc.",,,,Google News,
Unknown,"BlackRock Goes Live with First-of-its-Kind Public-Private Model Portfolios, Enabling Easier Access to Private Markets",,,,Google News,
Unknown,"Jio BlackRock closes maiden NFO with Rs 17,800 crore across three MF schemes",,,,Google News,
Unknown,PRESS RELEASE: Docs reveal Oklahoma AG Gentner Drummond’s secret ties to BlackRock,,,,Google News,
Unknown,BlackRock to Acquire HPS Investment Partners to Deliver Integrated Solutions Across Public and Private Markets,,,,Google News,
Unknown,"BlackRock MuniVest Fund, Inc. (MVF) Announces Tender Offer in Conjunction with Results of the Quarterly Measurement Period of its Discount Management Program",,,,Google News,
Unknown,OECD Complaint Against BlackRock,,,,Google News,
