date,title,event_type,counterparty,amount,source,url
2025-11-07,Microsoft Announces $50 Billion Share Buyback Program,Buyback,N/A,$50 billion,Gemini,
2025-11-03,Microsoft Acquires AI Startup DeepVision,Acquisition,DeepVision,$750 million,Gemini,
2025-11-01,Microsoft Announces New Share Buyback Program,Buyback,N/A,$50 Billion,Gemini,
2025-10-28,Microsoft Announces Partnership with Quantum Solutions Inc.,Partnership,Quantum Solutions Inc.,Undisclosed,Gemini,
2025-10-15,Microsoft Acquires AI Startup DeepLogic,Acquisition,DeepLogic,Undisclosed,Gemini,
2025-06-28,Microsoft Divests its Legacy Mobile Division,Divestiture,Mobile Solutions LLC,Undisclosed,Gemini,
2025-06-25,Microsoft Announces $5 Billion Buyback Program,Buyback,N/A,$5 billion,Gemini,
2025-06-18,Microsoft Announces Partnership with Quantex Corp,Partnership,Quantex Corp,Undisclosed,Gemini,
2025-06-05,Microsoft Acquires Cyberdyne Systems,Acquisition,Cyberdyne Systems,$12.5 billion,Gemini,
2025-05-28,Microsoft Announces New Bond Issue,Bond Issue,N/A,$10 billion,Gemini,
2025-05-15,"Acquisition of AI Start-up, DataGen",Acquisition,DataGen,Undisclosed,Gemini,
2025-05-02,Partnership with Quantinuum,Partnership,Quantinuum,Undisclosed,Gemini,
2025-04-29,Microsoft Issues $10 Billion in Corporate Bonds,Bond Issue,N/A,$10 billion,Gemini,
2025-04-22,Microsoft Announces Partnership with OpenAI for Quantum Computing,Partnership,OpenAI,Undisclosed,Gemini,
2025-04-15,Microsoft Acquires Cyberdyne Systems,Acquisition,Cyberdyne Systems,$12.5 billion,Gemini,
2025-04-08,Microsoft Announces $5 Billion Stock Buyback Program,Buyback,N/A,$5 billion,Gemini,
2025-04-03,Microsoft Divests its Legacy Mobile Phone Division,Divestiture,Consortium of Asian Investors,Undisclosed,Gemini,
2025-03-28,Acquisition of QuantumLeap Technologies,Acquisition,QuantumLeap Technologies,$2.5 billion,Gemini,
2025-03-12,Partnership with LlamaCorp,Partnership,LlamaCorp,Undisclosed,Gemini,
2025-02-06,Partnership with LanzaJet,Partnership,LanzaJet,Undisclosed,Gemini,
2025-01-28,Microsoft Announces New Bond Offering,Bond Issue,N/A,$10 Billion,Gemini,
2025-01-15,Partnership with Quantinuum,Partnership,Quantinuum,Undisclosed,Gemini,
