date,title,description,event_type,counterparty,amount,enterprise_value,advisors,source,url,confidence
2025-10-29,Share Buyback Program,"S&P Global announced a share buyback program of up to $5 billion, signaling confidence in the company's future performance.",Buyback,N/A,US$5B,Not available,N/A,SEC Filing,,A
2025-10-22,Partnership with GreenTech Solutions,S&P Global entered into a strategic partnership with GreenTech Solutions to develop ESG data and analytics products for institutional investors.,Partnership,GreenTech Solutions,Not Applicable,Not available,N/A,Bloomberg,,A
2025-10-15,Acquisition of Markit Analytics,"S&P Global announced the acquisition of Markit Analytics, a leading provider of data and analytics for the financial services industry, for $1.8 billion in cash and stock.",Acquisition,Markit Analytics,US$1.8B,Not available,N/A,S&P Global Press Release,,A
2025-09-29,Share Buyback Program,"S&P Global announced a share buyback program of up to $5 billion, signaling confidence in the company's future performance.",Buyback,N/A,US$5B,Not available,N/A,SEC Filing,,A
2025-09-22,Partnership with ClimateCheck,S&P Global entered into a strategic partnership with ClimateCheck to integrate climate risk data into S&P Global's credit risk assessments.,Partnership,ClimateCheck,Undisclosed,Not available,N/A,Bloomberg,,A
2025-08-22,Partnership with GreenTech Solutions,S&P Global has entered into a strategic partnership with GreenTech Solutions to develop ESG data and analytics products. This partnership will leverage GreenTech's expertise in environmental data to enhance S&P Global's sustainable finance offerings.,Partnership,GreenTech Solutions,Undisclosed,Not available,N/A,Bloomberg,,A
2025-07-22,Partnership with GreenTech Solutions,S&P Global has entered into a strategic partnership with GreenTech Solutions to develop ESG data and analytics products. The partnership will leverage GreenTech's expertise in environmental data and S&P Global's market intelligence.,Partnership,GreenTech Solutions,Undisclosed,Not available,N/A,Bloomberg,,A
2025-07-15,Acquisition of Markit Analytics,"S&P Global announced the completion of its acquisition of Markit Analytics, a leading provider of data and analytics for the financial services industry. The acquisition enhances S&P Global's data and analytics capabilities.",Acquisition,Markit Analytics,US$1.8B,Not available,N/A,S&P Global Press Release,,A
2025-06-22,Partnership with GreenTech Solutions,S&P Global entered into a strategic partnership with GreenTech Solutions to develop ESG data products for institutional investors.,Partnership,GreenTech Solutions,Undisclosed,Not available,N/A,Bloomberg,,A
2025-06-15,Acquisition of Markit Analytics,"S&P Global announced the completion of its acquisition of Markit Analytics for $500 million, expanding its data analytics capabilities.",Acquisition,Markit Analytics,US$1.8B,Not available,N/A,S&P Global Press Release,,A
2025-05-22,Partnership with GreenTech Solutions,S&P Global entered into a strategic partnership with GreenTech Solutions to develop ESG data products.,Partnership,GreenTech Solutions,Undisclosed,Not available,N/A,Bloomberg,,A
