date,title,event_type,counterparty,amount,source,url
Unknown,Apple TV lands international thriller “Safe Houses” from Emmy Award-winning showrunner Gideon Raff,,,,Google News,
Unknown,"Apple unveils new 14‑inch MacBook Pro powered by the M5 chip, delivering the next big leap in AI for the Mac",,,,Google News,
Unknown,Apple introduces the powerful new iPad Pro with the M5 chip,,,,Google News,
Unknown,Apple Vision Pro upgraded with the M5 chip and Dual Knit Band,,,,Google News,
Unknown,Apple is the exclusive new broadcast partner for Formula 1® in the U.S.,,,,Google News,
Unknown,Apple and NBCUniversal introduce the Apple TV and Peacock Bundle,,,,Google News,
Unknown,"Apple unleashes M5, the next big leap in AI performance for Apple silicon",,,,Google News,
Unknown,Apple Original Films’ “F1 The Movie” to make global streaming debut December 12,,,,Google News,
Unknown,iOS 26.2 Release Date: Apple Confirms Next iPhone Update Timing,,,,Google News,
Unknown,"Apple, Corning to manufacture all iPhone, Apple Watch cover glass in Kentucky",,,,Google News,
Unknown,Apple will spend more than $500 billion in the U.S. over the next four years,,,,Google News,
Unknown,Apple’s Worldwide Developers Conference returns the week of June 9,,,,Google News,
Unknown,"Introducing iPhone Air, a powerful new iPhone with a breakthrough design",,,,Google News,
Unknown,Apple debuts iPhone 17,,,,Google News,
Unknown,Apple’s sports comedy “Stick” tees off for season two with Owen Wilson,,,,Google News,
Unknown,Apple introduces a delightful and elegant new software design,,,,Google News,
Unknown,Apple elevates the iPhone experience with iOS 26,,,,Google News,
Unknown,"Apple unveils iPhone 17 Pro and iPhone 17 Pro Max, the most powerful and advanced Pro models ever",,,,Google News,
Unknown,"Apple debuts Apple Watch Series 11, featuring groundbreaking health insights",,,,Google News,
Unknown,Apple Intelligence gets even more powerful with new capabilities across Apple devices,,,,Google News,
Unknown,Apple Manufacturing Academy opens in Detroit on August 19,,,,Google News,
Unknown,New Apple Intelligence features are available today,,,,Google News,
Unknown,Apple unveils powerful accessibility features coming later this year,,,,Google News,
Unknown,"Introducing AirPods Pro 3, the ultimate audio experience",,,,Google News,
Unknown,"Apple introduces AppleCare One, streamlining coverage into a single plan with incredible value",,,,Google News,
Unknown,Apple’s Foundation Models framework unlocks new intelligent app experiences,,,,Google News,
Unknown,Apple debuts iPhone 16e: A powerful new member of the iPhone 16 family,,,,Google News,
Unknown,Apple TV+ celebrates the season four premiere of “The Morning Show”,,,,Google News,
Unknown,visionOS 26 introduces powerful new spatial experiences for Apple Vision Pro,,,,Google News,
Unknown,Introducing Apple Watch Ultra 3,,,,Google News,
Unknown,Apple TV+ debuts trailer for highly anticipated third season of “Foundation”,,,,Google News,
Unknown,Apple TV+ unveils first look at French-language thriller “The Hunt” (“Traqués”),,,,Google News,
Unknown,"Apple announces the iPhone Air, iPhone 17 and new wearables",,,,Google News,
Unknown,iPadOS 26 introduces powerful new features that push the capabilities and versatility of iPad even further,,,,Google News,
Unknown,"Introducing Apple Invites, a new app that brings people together for life’s special moments",,,,Google News,
Unknown,Apple lands record-breaking 81 Emmy Award nominations with Severance leading,,,,Google News,
Unknown,"macOS Tahoe 26 makes the Mac more capable, productive, and intelligent than ever",,,,Google News,
Unknown,"Apple reveals M3 Ultra, taking Apple silicon to a new extreme",,,,Google News,
Unknown,Apple’s global hit drama “The Morning Show” renewed for season five ahead of season four premiere,,,,Google News,
Unknown,"Apple’s Emmy, SAG and Critics Choice award-winning drama “The Morning Show” unveils season four trailer",,,,Google News,
Unknown,"Apple TV+ is the exclusive streaming home until 2030, with extended Peanuts partnership",,,,Google News,
Unknown,"Apple TV+ renews global hit, epic sci-fi saga “Foundation” for season four",,,,Google News,
Unknown,Apple Music celebrates 10 years with the launch of a new global hub for artists,,,,Google News,
Unknown,Apple introduces the 2025 Pride Collection,,,,Google News,
Unknown,"Apple supercharges its tools and technologies for developers to foster creativity, innovation, and design",,,,Google News,
Unknown,"Apple unveils environmental progress, surpassing 60 percent reduction in global greenhouse gas emissions",,,,Google News,
Unknown,Apple TV+ celebrates the premiere of upcoming thriller “The Last Frontier”,,,,Google News,
Unknown,Apple Music kicks off Kendrick Lamar’s Road to Halftime ahead of Super Bowl LIX,,,,Google News,
Unknown,"Apple unveils new Mac Studio, the most powerful Mac ever, featuring M4 Max and new M3 Ultra",,,,Google News,
Unknown,Apple TV+ reveals the trailer for “Knife Edge: Chasing Michelin Stars”,,,,Google News,
Unknown,"CarPlay Ultra, the next generation of CarPlay, begins rolling out today",,,,Google News,
Unknown,Apple TV+ announces “Snoopy Presents: A Summer Musical” premiering August 15,,,,Google News,
Unknown,"Apple TV+ announces Apple Original podcast “Unicorn Girl,” premiering August 18",,,,Google News,
Unknown,Apple introduces the 2025 Black Unity Collection,,,,Google News,
Unknown,Apple TV+ unveils first look at sophomore season of acclaimed comedy “Platonic”,,,,Google News,
Unknown,Believe! Apple’s Emmy Award-winning “Ted Lasso” renewed for season four,,,,Google News,
Unknown,Apple introduces iPad Air with powerful M3 chip and new Magic Keyboard,,,,Google News,
Unknown,Apple TV+ announces second season of beloved stop-motion series “Shape Island”,,,,Google News,
Unknown,“Friday Night Baseball” returns to Apple TV+ on March 28,,,,Google News,
Unknown,Apple TV+ debuts gripping trailer for season five of “Slow Horses”,,,,Google News,
Unknown,AirPods are more versatile than ever with studio-quality audio recording and camera remote,,,,Google News,
Unknown,Apple TV+ unveils first look at season five of espionage drama “Slow Horses”,,,,Google News,
Unknown,"Apple TV+ celebrates the premiere of Jason Momoa-led drama “Chief of War” ahead of its debut on Friday, August 1",,,,Google News,
Unknown,Apple Intelligence comes to Apple Vision Pro in April,,,,Google News,
Unknown,Apple TV+ unveils sneak peek at new thriller “The Last Frontier”,,,,Google News,
Unknown,Apple TV+ announces seventh season for celebrated spy drama “Slow Horses”,,,,Google News,
Unknown,Apple unveils immersive concert experience with Metallica for Apple Vision Pro,,,,Google News,
Unknown,"Apple TV+ announces new thriller “The Wanted Man,” starring Hugh Laurie",,,,Google News,
Unknown,Enjoy Apple TV+ for free the first weekend of 2025,,,,Google News,
Unknown,Apple introduces the new MacBook Air with the M4 chip and a sky blue color,,,,Google News,
Unknown,"Apple MixC Hefei opens for customers this Saturday, January 18, in Anhui, China",,,,Google News,
Unknown,Apple Original Films celebrates the world premiere of “Fountain of Youth”,,,,Google News,
Unknown,Apple TV+ announces the five-part documentary film portrait “Mr. Scorsese”,,,,Google News,
Unknown,Apple’s new golf comedy “Stick” to premiere June 4,,,,Google News,
Unknown,"Apple Intelligence now features Image Playground, Genmoji, and more",,,,Google News,
Unknown,"Apple Hebbal opens this Tuesday, September 2, in Bengaluru",,,,Google News,
Unknown,"Apple TV+ and Apple Music light up the holiday season with “A Carpool Karaoke Christmas,” now streaming",,,,Google News,
Unknown,The second season of Apple’s acclaimed drama “The Buccaneers” to debut June 18,,,,Google News,
Unknown,Apple Original Films lands Sundance Festival Favorite “Come See Me in the Good Light”,,,,Google News,
Unknown,Apple expands renewable energy projects across Europe,,,,Google News,
Unknown,Apple announces Apple Retail expansion in the Kingdom of Saudi Arabia,,,,Google News,
Unknown,Apple TV+ and Gordon Ramsay celebrate “Knife Edge: Chasing Michelin Stars”,,,,Google News,
Unknown,"Apple TV+ renews hit, world-building drama “Silo” for seasons three and four",,,,Google News,
Unknown,Apple TV+ debuts trailer for new conspiracy thriller “Prime Target”,,,,Google News,
Unknown,Apple TV+ kicks off SXSW with world premiere event for “The Studio”,,,,Google News,
Unknown,Dassault Systèmes Reveals the Next Dimension of Product Design and Manufacturing with Apple Vision Pro,,,,Google News,
Unknown,"Apple’s hit saga “Foundation” to return for season three on Friday, 11 July",,,,Google News,
Unknown,Apple Music announces The King’s Music Room with King Charles III,,,,Google News,
Unknown,Apple’s Find My enables sharing location of lost items with third parties,,,,Google News,
Unknown,Apple introduces powerful new iPad mini built for Apple Intelligence,,,,Google News,
Unknown,Apple introduces iPhone 16 and iPhone 16 Plus,,,,Google News,
Unknown,Apple Vision Pro brings a new era of spatial computing to business,,,,Google News,
Unknown,Apple expands tools to help businesses connect with customers,,,,Google News,
Unknown,"Introducing Apple Intelligence for iPhone, iPad, and Mac",,,,Google News,
Unknown,Apple Vision Pro available in the U.S. on February 2,,,,Google News,
Unknown,"Apple’s Worldwide Developers Conference returns June 10, 2024",,,,Google News,
Unknown,New features come to Apple services this fall,,,,Google News,
Unknown,Introducing Apple Vision Pro: Apple’s first spatial computer,,,,Google News,
Unknown,Apple unveils its first carbon neutral products,,,,Google News,
Unknown,Apple commits $430 billion in US investments over five years,,,,Google News,
